S'	PRO	se
et	CCONJ	et
demoura	VERB	demeurer
royne	NOUN	roine
.	PUNCT	.
Et	CCONJ	et
abandonna	VERB	abandoner
son	DET	son
coeur	NOUN	coeur
et	CCONJ	et
son	DET	son
corps	NOUN	corps
et	CCONJ	et
sa	DET	son
substance	NOUN	subplet
en	ADP	en
aulmosnes	NOUN	aumass
,	PUNCT	,
en	ADP	en
jeusnes	NOUN	jeune
et	CCONJ	et
en	ADP	en
oraysons	NOUN	oraisone
vers	ADP	vers
Nostre	DET	notre
Seigneur	NOUN	seigneur
et	CCONJ	et
faisoit	VERB	faire
prieres	NOUN	priier
pour	ADP	pour
la	DET	le
paix	NOUN	paix
du	ADP.DET	de.le
royaulme	NOUN	royaume
et	CCONJ	et
pour	ADP	pour
la	DET	le
stabilité	NOUN	taillier
de	ADP	de
saincte	ADJ	saint
esglise	VERB	église
et	CCONJ	et
pour	ADP	pour
le	DET	le
salut	VERB	salüer
de	ADP	de
son	DET	son
mary	NOUN	mari
et	CCONJ	et
de	ADP	de
tous	DET	tout
ses	DET	son
enfans	NOUN	enfant
.	PUNCT	.
Le	DET	le
jeusne	ADJ	jeune
roy	NOUN	roi
son	DET	son
filz	NOUN	fil
,	PUNCT	,
duquel	ADP.DET	de.lequel
le	DET	le
non	NOUN	nom
est	VERB	estre
mys	VERB	mettre
en	ADP	en
oubly	VERB	oubli
,	PUNCT	,
regna	VERB	renger
ainssi	ADV	ainsi
grant	ADJ	grant
piesse	NOUN	peise
et	CCONJ	et
tint	VERB	tenir
moult	ADV	moult
en	ADP	en
paix	NOUN	paix
le	DET	le
royaulme	NOUN	royaume
par	ADP	par
le	DET	le
conseil	NOUN	conseil
de	ADP	de
la	DET	le
bone	ADJ	bon
et	CCONJ	et
saincte	ADJ	saint
royne	NOUN	roine
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
sa	DET	son
mere	NOUN	mere
,	PUNCT	,
de	ADP	de
laquelle	DET	lequel
il	PRON	il
faisoit	VERB	faire
la	DET	le
voulenté	NOUN	volonté
.	PUNCT	.
Et	CCONJ	et
la	DET	le
saincte	ADJ	saint
royne	NOUN	roine
avoit	VERB	avoir
moult	ADV	moult
grant	ADJ	grant
joye	NOUN	joie
en	ADP	en
son	DET	son
coeur	NOUN	coeur
de	ADP	de
la	DET	le
paix	NOUN	paix
du	ADP.DET	de.le
royaulme	NOUN	royaume
et	CCONJ	et
de	ADP	de
la	DET	le
prosperité	NOUN	prospérité
de	ADP	de
sez	VERB	savoir
enfans	NOUN	enfant
.	PUNCT	.
Mais	CCONJ	mais
il	PRON	il
n'	ADV	ne
avyent	VERB	avoir
pas	NOUN	pas
souvant	DET	souvent
en	ADP	en
ce	PRON	ce
monde	NOUN	monde
que	SCONJ	que
grande	ADJ	grand
prosperité	NOUN	prospérité
dure	ADJ	dur
longuement	ADV	longuement
que	SCONJ	que
aulcune	DET	aucun
tristesse	ADJ	triste
ne	ADV	ne
c'	CCONJ	ce
y	ADV	y
entremesle	NOUN	entremetre
.	PUNCT	.
Ainssi	ADV	ainsi
avint	VERB	avenir
que	SCONJ	que
,	PUNCT	,
par	ADP	par
l'	DET	le
amonnestement	NOUN	anomtement
de	ADP	de
nostre	DET	notre
encien	ADJ	encine
ennemy	NOUN	ennemi
,	PUNCT	,
son	DET	son
encien	ADJ	encine
filz	NOUN	fil
qui	PRON	qui
tenoit	VERB	tenir
le	DET	le
royaulme	NOUN	royaume
cheut	VERB	chëoir
en	ADP	en
si	ADV	si
grant	ADJ	grant
orgueil	NOUN	orgueil
que	SCONJ	que
le	DET	le
conseil	NOUN	conseil
de	ADP	de
sa	DET	son
saincte	ADJ	saint
mere	NOUN	mere
la	DET	le
royne	NOUN	roine
qu'	SCONJ	que
il	PRON	il
avoit	VERB	avoir
par	ADP	par
avant	ADV	avant
creu	NOUN	croire
et	CCONJ	et
gardé	NOUN	garder
il	PRON	il
desprisa	VERB	desprise
en	ADP	en
telle	DET	tel
maniere	NOUN	manière
que	SCONJ	que
,	PUNCT	,
toutes	DET	tout
les	DET	le
choses	NOUN	chose
qu'	SCONJ	que
elle	PRON	elle
disposoit	VERB	disposer
estre	VERB	estre
faictes	VERB	faire
,	PUNCT	,
il	PRON	il
faisoit	VERB	faire
le	DET	le
contraire	ADJ	contraire
et	CCONJ	et
tant	ADV	tant
admonnesta	VERB	adomner
son	DET	son
frere	NOUN	frere
myneur	NOUN	mineur
qui	PRON	qui
encores	ADV	encore
ce	PRON	ce
te	PRON	tu
noit	NOUN	noir
au	ADP.DET	a.le
conseil	NOUN	conseil
de	ADP	de
sa	DET	son
mere	NOUN	mere
qu'	SCONJ	que
il	PRON	il
le	DET	le
fict	VERB	fief
accorder	VERB	accorder
a	ADP	a
sa	DET	son
voulenté	NOUN	volonté
.	PUNCT	.
Aprés	ADP	après
ces	DET	ce
choses	NOUN	chose
fuct	NOUN	fucer
la	DET	le
royne	NOUN	roine
departie	VERB	departir
du	ADP.DET	de.le
conseil	NOUN	conseil
du	ADP.DET	de.le
royaulme	NOUN	royaume
et	CCONJ	et
du	ADP.DET	de.le
conseil	NOUN	conseil
de	ADP	de
sez	VERB	savoir
enfans	NOUN	enfant
semblablement	ADV	semblablement
,	PUNCT	,
si	ADV	si
estoit	VERB	estre
elle	PRON	elle
tousjours	ADV	toujours
continuellement	NOUN	continuellement
en	ADP	en
orayson	NOUN	orainse
,	PUNCT	,
prieres	NOUN	priier
et	CCONJ	et
aulmosmes	NOUN	aumasse
et	CCONJ	et
prioit	VERB	priier
Nostre	DET	notre
Seigneur	NOUN	seigneur
pour	ADP	pour
la	DET	le
paix	NOUN	paix
du	ADP.DET	de.le
royaulme	NOUN	royaume
et	CCONJ	et
pour	ADP	pour
le	DET	le
salut	VERB	salüer
de	ADP	de
sez	VERB	savoir
enffans	NOUN	enfant
et	CCONJ	et
pour	ADP	pour
la	DET	le
revenue	VERB	revenir
du	ADP.DET	de.le
roy	NOUN	roi
son	DET	son
seigneur	NOUN	seigneur
et	CCONJ	et
sur	ADP	sur
toutes	DET	tout
aultres	PRON	autre
choses	NOUN	chose
pour	ADP	pour
la	DET	le
stabilité	NOUN	taillier
de	ADP	de
nostre	DET	notre
mere	NOUN	mere
saincte	ADJ	saint
esglise	VERB	église
.	PUNCT	.
Le	DET	le
bon	ADJ	bon
roy	NOUN	roi
Clovys	PROPN	clovit
,	PUNCT	,
pour	ADP	pour
acomplir	VERB	accomplir
la	DET	le
sentence	NOUN	sentence
de	ADP	de
l'	DET	le
evangille	NOUN	exangline
qui	PRON	qui
dict	VERB	dire
:	PUNCT	:
«	PUNCT	"
Qui	PRON	qui
ne	ADV	ne
prant	VERB	prendre
la	DET	le
croix	NOUN	croix
et	CCONJ	et
ne	ADV	ne
me	PRON	je
ensuyt	VERB	ensuivre
,	PUNCT	,
il	PRON	il
ne	ADV	ne
peult	VERB	pouvoir
estre	VERB	estre
mon	DET	mon
disciple	NOUN	diclime-chil
»	PUNCT	"
,	PUNCT	,
il	PRON	il
habandonna	VERB	abandonner
son	DET	son
royaulme	NOUN	royaume
temporel	ADJ	tempore
.	PUNCT	.
Et	CCONJ	et
fict	VERB	fief
tant	ADV	tant
par	ADP	par
ses	DET	son
journees	VERB	journée
qu'	SCONJ	que
il	PRON	il
vint	VERB	venir
en	ADP	en
la	DET	le
terre	NOUN	terre
de	ADP	de
promission	NOUN	prominis
et	CCONJ	et
fict	VERB	fief
son	DET	son
pelerinage	NOUN	pelerin
au	ADP.DET	a.le
sainct	ADJ	saint
sepulcre	NOUN	seplore
en	ADP	en
moult	ADV	moult
grant	ADJ	grant
devocion	NOUN	devocir
et	CCONJ	et
puys	NOUN	puis
demoura	VERB	demeurer
en	ADP	en
la	DET	le
terre	NOUN	terre
et	CCONJ	et
ce	PRON	ce
mist	VERB	metre
a	ADP	a
son	DET	son
povoir	NOUN	pouvoir
au	ADP.DET	a.le
sainct	ADJ	saint
servyce	NOUN	service
de	ADP	de
Nostre	DET	notre
Seigneur	NOUN	seigneur
.	PUNCT	.
Ung	DET	un
jour	NOUN	jour
advint	VERB	advenir
que	SCONJ	que
la	DET	le
noble	ADJ	noble
chevallerie	NOUN	chevalier
du	ADP.DET	de.le
roy	NOUN	roi
luy	PRON	lui
parla	VERB	parler
du	ADP.DET	de.le
gouvernement	NOUN	gouvernement
du	ADP.DET	de.le
royaulme	NOUN	royaume
de	ADP	de
France	PROPN	france
,	PUNCT	,
lequel	DET	lequel
il	PRON	il
avoit	VERB	avoir
laissé	VERB	laisser
,	PUNCT	,
et	CCONJ	et
avec	ADP	avec
ce	PRON	ce
le	DET	le
bon	ADJ	bon
roy	NOUN	roi
eut	VERB	avoir
souvenance	NOUN	souvenance
de	ADP	de
la	DET	le
royne	NOUN	roine
sa	DET	son
femme	NOUN	femme
et	CCONJ	et
de	ADP	de
ces	DET	ce
enfans	NOUN	enfant
et	CCONJ	et
de	ADP	de
ce	PRON	ce
eut	VERB	avoir
grant	ADJ	grant
pitié	NOUN	pitié
au	ADP.DET	a.le
coeur	NOUN	coeur
.	PUNCT	.
Et	CCONJ	et
ainssi	ADV	ainsi
qu'	SCONJ	que
il	PRON	il
pensoit	VERB	penser
et	CCONJ	et
deliberoit	VERB	délibérer
en	ADP	en
son	DET	son
entendement	NOUN	entendement
quelle	DET	quel
chose	NOUN	chose
il	PRON	il
feroit	VERB	faire
:	PUNCT	:
ou	CCONJ	ou
se	PRON	se
il	PRON	il
demoureroit	VERB	demeurer
la	DET	le
ou	CCONJ	ou
il	PRON	il
estoit	VERB	estre
au	ADP.DET	a.le
servyce	NOUN	service
de	ADP	de
Nostre	DET	notre
Seigneur	NOUN	seigneur
ou	CCONJ	ou
ce	PRON	ce
il	PRON	il
retourneroit	VERB	retourner
en	ADP	en
son	DET	son
royaulme	NOUN	royaume
,	PUNCT	,
vint	VERB	venir
a	ADP	a
luy	PRON	lui
ung	DET	un
Françoys	PROPN	français
qui	PRON	qui
venoit	VERB	venir
tout	DET	tout
droit	ADJ	droit
de	ADP	de
France	PROPN	france
qui	PRON	qui
luy	PRON	lui
dict	VERB	dire
tout	DET	tout
par	ADP	par
ordre	NOUN	ordre
comment	ADV	comment
sez	VERB	savoir
enfans	NOUN	enfant
estoient	VERB	estre
rebellez	VERB	rebeller
a	ADP	a
la	DET	le
royne	NOUN	roine
sa	DET	son
fame	NOUN	feme
.	PUNCT	.
Quant	SCONJ	cant
il	PRON	il
eut	VERB	avoir
sa	DET	son
rayson	NOUN	raison
contee	VERB	conter
devant	ADP	devant
le	DET	le
roy	NOUN	roi
et	CCONJ	et
devant	ADP	devant
lez	DET	lez
aultres	PRON	autre
Francoys	PROPN	françon
qui	PRON	qui
la	DET	le
estoient	VERB	estre
,	PUNCT	,
si	ADV	si
en	ADP	en
fuct	NOUN	fucer
le	DET	le
roy	NOUN	roi
moult	ADV	moult
durement	ADV	durement
couroucé	VERB	courrombre
et	CCONJ	et
troublé	VERB	troubler
en	ADP	en
son	DET	son
courage	NOUN	courage
et	CCONJ	et
tous	DET	tout
ceulx	PRON	cil
qui	PRON	qui
estoient	VERB	estre
avecques	ADP	avec
luy	PRON	lui
.	PUNCT	.
En	ADP	en
aprés	ADP	après
a	ADP	a
l'	DET	le
occasion	NOUN	occasion
desdictes	ADP	desdire
nouvelles	NOUN	nouvelle
,	PUNCT	,
le	DET	le
bon	ADJ	bon
roy	NOUN	roi
Clovys	PROPN	clovit
ce	PRON	ce
separa	VERB	separer
de	ADP	de
sa	DET	son
chevallerie	NOUN	chevalier
et	CCONJ	et
de	ADP	de
sez	VERB	savoir
gens	NOUN	gens
et	CCONJ	et
entra	VERB	entrer
en	ADP	en
ung	DET	un
lieu	NOUN	lieu
solitaire	NOUN	solité
et	CCONJ	et
commença	VERB	commencer
a	ADP	a
gemir	VERB	jejon
et	CCONJ	et
plorer	VERB	plorer
a	ADP	a
l'	DET	le
occasion	NOUN	occasion
de	ADP	de
la	DET	le
dureté	NOUN	dureté
et	CCONJ	et
tribulacion	NOUN	tribulac
qu'	SCONJ	que
il	PRON	il
pensoit	VERB	penser
bien	NOUN	bien
que	SCONJ	que
la	DET	le
bonne	ADJ	bon
royne	NOUN	roine
sa	DET	son
femme	NOUN	femme
souffroit	VERB	souffrir
,	PUNCT	,
aussi	ADV	aussi
a	ADP	a
cause	NOUN	cause
de	ADP	de
la	DET	le
follie	NOUN	folie
de	ADP	de
sez	VERB	savoir
enfans	NOUN	enfant
,	PUNCT	,
si	ADV	si
delibera	VERB	délibérer
et	CCONJ	et
advisa	VERB	aviser
en	ADP	en
son	DET	son
entendement	NOUN	entendement
que	SCONJ	que
,	PUNCT	,
avecquez	ADP	avec
l'	DET	le
ayde	NOUN	aider
de	ADP	de
Dieu	PROPN	dieu
,	PUNCT	,
il	PRON	il
retourneroit	VERB	retourner
en	ADP	en
France	PROPN	france
tant	ADV	tant
pour	ADP	pour
reconforter	VERB	reconforter
la	DET	le
royne	NOUN	roine
que	SCONJ	que
aussi	ADV	aussi
pour	ADP	pour
corriger	VERB	corrir
l'	DET	le
erreur	NOUN	errer
de	ADP	de
sez	VERB	savoir
enfans	NOUN	enfant
.	PUNCT	.
Et	CCONJ	et
tout	DET	tout
ce	PRON	ce
il	PRON	il
signiffia	VERB	seignier
a	ADP	a
sez	VERB	savoir
chevaliers	NOUN	chevalier
et	CCONJ	et
subjectz	NOUN	sujet
et	CCONJ	et
commenda	VERB	commander
preparer	VERB	preper
pour	ADP	pour
retourner	VERB	retourner
.	PUNCT	.
Mais	CCONJ	mais
pour	ADP	pour
ce	PRON	ce
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
vouloit	VERB	vouloir
pas	NOUN	pas
que	SCONJ	que
ceulx	PRON	cil
du	ADP.DET	de.le
pays	NOUN	pays
,	PUNCT	,
la	DET	le
ou	CCONJ	ou
il	PRON	il
estoit	VERB	estre
,	PUNCT	,
eussent	VERB	avoir
soupeçon	NOUN	soupçon
sur	ADP	sur
luy	PRON	lui
qu'	SCONJ	que
i	ADV	i
s'	DET	soi
en	ADP	en
allast	VERB	aller
pour	ADP	pour
et	CCONJ	et
a	ADP	a
cause	NOUN	cause
d'	ADP	de
aulcune	DET	aucun
maulvaise	ADJ	mauvais
chose	NOUN	chose
,	PUNCT	,
fist	VERB	faire
assembler	VERB	assembler
tous	DET	tout
lez	DET	lez
plus	ADV	plus
grandz	ADJ	grand
signeurs	NOUN	seigneur
de	ADP	de
la	DET	le
terre	NOUN	terre
et	CCONJ	et
leur	DET	leur
compta	VERB	compter
tout	DET	tout
ce	PRON	ce
qui	PRON	qui
estoit	VERB	estre
advenu	VERB	advenir
en	ADP	en
son	DET	son
pays	NOUN	pays
et	CCONJ	et
en	ADP	en
son	DET	son
royaulme	NOUN	royaume
depuys	ADV	depuis
qu'	SCONJ	que
il	PRON	il
estoit	VERB	estre
parti	VERB	partir
.	PUNCT	.
Et	CCONJ	et
alors	NOUN	alors
,	PUNCT	,
quant	SCONJ	cant
ilz	PRON	il
ouyrent	VERB	ouïr
le	DET	le
meschef	NOUN	meschëoir
qui	PRON	qui
estoit	VERB	estre
advenu	VERB	advenir
en	ADP	en
son	DET	son
royaulme	NOUN	royaume
,	PUNCT	,
le	DET	le
prierent	VERB	prier
tous	DET	tout
ensemble	ADV	ensemble
qu'	SCONJ	que
il	PRON	il
s'	DET	soi
en	ADP	en
retournast	VERB	retourner
au	ADP.DET	a.le
plus	ADV	plus
tost	DET	tost
qu'	SCONJ	que
il	PRON	il
pourroit	VERB	pouvoir
pour	ADP	pour
oster	VERB	oster
sa	DET	son
fame	NOUN	feme
de	ADP	de
tristesse	ADJ	triste
et	CCONJ	et
de	ADP	de
langueur	NOUN	langue
et	CCONJ	et
pour	ADP	pour
oster	VERB	oster
sez	VERB	savoir
enfans	NOUN	enfant
de	ADP	de
l'	DET	le
erreur	NOUN	errer
ou	CCONJ	ou
ilz	PRON	il
estoient	VERB	estre
et	CCONJ	et
de	ADP	de
la	DET	le
desloyauté	VERB	deslëautiou
,	PUNCT	,
car	CCONJ	car
ilz	PRON	il
doubtoient	VERB	douter
,	PUNCT	,
ce	PRON	ce
il	PRON	il
ne	ADV	ne
retournoit	VERB	retourner
hastivement	NOUN	hastivement
,	PUNCT	,
que	SCONJ	que
la	DET	le
malice	NOUN	malic
de	ADP	de
sez	VERB	savoir
enfans	NOUN	enfant
ne	ADV	ne
multipliast	VERB	multité
tant	ADV	tant
qu'	SCONJ	que
ilz	PRON	il
prochassacent	VERB	prochasentes
en	ADP	en
aulcune	DET	aucun
maniere	NOUN	manière
secours	NOUN	secours
ou	CCONJ	ou
ayde	NOUN	aider
des	ADP.DET	de.le
mescreans	NOUN	mescrendre
qui	PRON	qui
estoient	VERB	estre
entour	ADP	entour
le	DET	le
royaulme	NOUN	royaume
.	PUNCT	.
Quant	SCONJ	cant
le	DET	le
roy	NOUN	roi
fut	VERB	être
en	ADP	en
telle	DET	tel
maniere	NOUN	manière
enseigné	VERB	enseigner
,	PUNCT	,
admonnesté	NOUN	adomminer
et	CCONJ	et
deprié	VERB	deprier
des	ADP.DET	de.le
grans	ADJ	grand
et	CCONJ	et
saiges	ADJ	sage
de	ADP	de
la	DET	le
terre	NOUN	terre
,	PUNCT	,
visita	VERB	visiter
le	DET	le
plus	ADV	plus
hastivement	NOUN	hastivement
qu'	SCONJ	que
il	PRON	il
peut	VERB	pouvoir
lez	DET	lez
sainctz	NOUN	saint
lieulx	NOUN	lieu
et	CCONJ	et
pelerinages	NOUN	pelerieran
que	SCONJ	que
Nostre	DET	notre
Seigneur	NOUN	seigneur
avoit	VERB	avoir
sanctifié	VERB	santif
pour	ADP	pour
la	DET	le
presence	NOUN	présence
de	ADP	de
son	DET	son
humanité	NOUN	hommanité
et	CCONJ	et
y	ADV	y
donna	VERB	donner
de	ADP	de
moult	ADV	moult
riches	ADJ	riche
dons	NOUN	donc
et	CCONJ	et
ce	PRON	ce
mist	VERB	metre
a	ADP	a
retourner	VERB	retourner
a	ADP	a
son	DET	son
royaulme	NOUN	royaume
,	PUNCT	,
luy	PRON	lui
et	CCONJ	et
ceulx	PRON	cil
qui	PRON	qui
estoient	VERB	estre
avecquez	ADP	avec
luy	PRON	lui
.	PUNCT	.
Et	CCONJ	et
renommee	VERB	renommer
et	CCONJ	et
nouvellez	VERB	nouvelle
qui	PRON	qui
tost	DET	tost
coururent	VERB	courrouer
furent	VERB	estre
a	ADP	a
sez	VERB	savoir
enfans	NOUN	enfant
que	SCONJ	que
leur	DET	leur
pere	NOUN	père
le	DET	le
roy	NOUN	roi
revenoit	VERB	revenir
de	ADP	de
son	DET	son
pelerinage	NOUN	pelerin
.	PUNCT	.
Et	CCONJ	et
quant	SCONJ	cant
ilz	PRON	il
ouyrent	VERB	ouïr
et	CCONJ	et
sceurent	VERB	savoir
vrayement	NOUN	vraiment
qu'	SCONJ	que
il	PRON	il
aprochoit	VERB	aprochier
,	PUNCT	,
ilz	PRON	il
ce	PRON	ce
pourpencerent	VERB	pourpencher
qu'	SCONJ	que
ilz	PRON	il
yroyent	VERB	alloir
au	ADP.DET	a.le
devant	ADP	devant
de	ADP	de
luy	PRON	lui
et	CCONJ	et
que	SCONJ	que
ilz	PRON	il
luy	PRON	lui
cryeroient	VERB	crïere
mercy	NOUN	merci
de	ADP	de
ce	PRON	ce
qu'	SCONJ	que
ilz	PRON	il
avoient	VERB	avoir
mesprins	VERB	mesprisin
envers	ADP	envers
luy	PRON	lui
et	CCONJ	et
envers	ADP	envers
leur	DET	leur
mere	NOUN	mere
ou	CCONJ	ou
ilz	PRON	il
luy	PRON	lui
deffendroient	VERB	défendre
l'	DET	le
entree	NOUN	entree
dedans	ADP	dedans
le	DET	le
royaulme	NOUN	royaume
.	PUNCT	.
De	ADP	de
sez	VERB	savoir
deulx	DET	deux
,	PUNCT	,
ilz	PRON	il
eslurent	VERB	eslurer
le	DET	le
maulvaix	NOUN	mauvais
par	ADP	par
l'	DET	le
admonnestement	NOUN	adomminer
du	ADP.DET	de.le
diable	NOUN	dïable
qui	PRON	qui
en	ADP	en
telle	DET	tel
maniere	NOUN	manière
lez	DET	lez
avoit	VERB	avoir
gouvernez	VERB	gouverner
et	CCONJ	et
mys	VERB	mettre
en	ADP	en
si	ADV	si
grant	ADJ	grant
orgueil	NOUN	orgueil
jusquez	VERB	jusque
a	ADP	a
vouloir	VERB	vouloir
contredire	VERB	contredire
a	ADP	a
leur	DET	leur
pere	NOUN	père
l'	DET	le
entree	NOUN	entree
de	ADP	de
sa	DET	son
terre	NOUN	terre
.	PUNCT	.
Lors	ADV	lors
assemblerent	VERB	assembler
tous	DET	tout
lez	DET	lez
gens	NOUN	gens
d'	ADP	de
armes	NOUN	arme
qu'	SCONJ	que
ilz	PRON	il
peurent	VERB	pouvoir
et	CCONJ	et
garnirent	VERB	gariner
lez	DET	lez
citez	NOUN	cité
et	CCONJ	et
les	DET	le
chateaulx	NOUN	chateleau
.	PUNCT	.
Les	DET	le
Françoys	PROPN	français
furent	VERB	estre
tous	DET	tout
avecquez	ADP	avec
eulx	PRON	eux
:	PUNCT	:
les	DET	le
ungs	DET	un
a	ADP	a
force	NOUN	force
,	PUNCT	,
lez	DET	lez
aultres	PRON	autre
pour	ADP	pour
lez	DET	lez
grans	ADJ	grand
dons	NOUN	donc
qu'	SCONJ	que
ilz	PRON	il
leur	DET	leur
dounoyent	VERB	donner
.	PUNCT	.
Quant	SCONJ	cant
ilz	PRON	il
eurent	VERB	avoir
assemblé	VERB	assemblée
a	ADP	a
leur	DET	leur
povoir	NOUN	pouvoir
tous	DET	tout
ceulx	PRON	cil
de	ADP	de
France	PROPN	france
et	CCONJ	et
leurs	DET	leur
voysins	NOUN	voisin
et	CCONJ	et
tous	DET	tout
lez	DET	lez
estranges	ADJ	estrange
qu'	SCONJ	que
ilz	PRON	il
povoient	VERB	pouvoir
assembler	VERB	assembler
,	PUNCT	,
si	ADV	si
allerent	VERB	aller
contre	ADP	contre
leur	DET	leur
pere	NOUN	père
et	CCONJ	et
emplirent	VERB	emplir
tout	DET	tout
le	DET	le
pays	NOUN	pays
par	ADP	par
lequel	DET	lequel
ilz	PRON	il
pensoient	VERB	penser
qu'	SCONJ	que
il	PRON	il
deust	VERB	devoir
venir	VERB	venir
.	PUNCT	.
Quant	SCONJ	cant
la	DET	le
royne	NOUN	roine
Bauptheur	NOUN	bauthoup
eut	VERB	avoir
ouy	VERB	ouïr
vrayes	ADJ	vrai
nouvelles	NOUN	nouvelle
de	ADP	de
la	DET	le
venue	VERB	venir
de	ADP	de
son	DET	son
seigneur	NOUN	seigneur
,	PUNCT	,
en	ADP	en
rendit	VERB	rendre
graces	NOUN	grace
a	ADP	a
Nostre	DET	notre
Seigneur	NOUN	seigneur
et	CCONJ	et
en	ADP	en
eut	VERB	avoir
grant	ADJ	grant
joye	NOUN	joie
et	CCONJ	et
mesmement	ADV	mêmement
pour	ADP	pour
ce	PRON	ce
qu'	SCONJ	que
elle	PRON	elle
croyoit	VERB	croire
bien	NOUN	bien
que	SCONJ	que
,	PUNCT	,
avecquez	ADP	avec
l'	DET	le
ayde	NOUN	aider
de	ADP	de
Dieu	PROPN	dieu
,	PUNCT	,
elle	PRON	elle
mectroyt	VERB	mettre
le	DET	le
royaulme	NOUN	royaume
en	ADP	en
paix	NOUN	paix
,	PUNCT	,
lequel	DET	lequel
estoit	VERB	estre
si	ADV	si
troublé	VERB	troubler
.	PUNCT	.
Lors	ADV	lors
print	VERB	prendre
messagiers	NOUN	messagier
certains	ADJ	certain
et	CCONJ	et
lez	DET	lez
envoya	VERB	envoyer
vers	ADP	vers
son	DET	son
seigneur	NOUN	seigneur
et	CCONJ	et
luy	PRON	lui
manda	VERB	mander
en	ADP	en
briefves	NOUN	brief
parolles	NOUN	parole
coumant	ADV	comuner
sez	VERB	savoir
enffans	NOUN	enfant
ce	PRON	ce
estoient	VERB	estre
maintenuz	DET	maintenir
et	CCONJ	et
gouvernez	VERB	gouverner
et	CCONJ	et
aussi	ADV	aussi
comment	ADV	comment
ilz	PRON	il
avoient	VERB	avoir
assemblé	VERB	assemblée
grant	ADJ	grant
armee	NOUN	armer
de	ADP	de
gens	NOUN	gens
d'	ADP	de
armes	NOUN	arme
pour	ADP	pour
luy	PRON	lui
contredire	VERB	contredire
l'	DET	le
entree	NOUN	entree
en	ADP	en
son	DET	son
royaulme	NOUN	royaume
et	CCONJ	et
en	ADP	en
sa	DET	son
terre	NOUN	terre
.	PUNCT	.
Adonc	ADV	adonc
le	DET	le
roy	NOUN	roi
receut	VERB	recevoir
moult	ADV	moult
joyeusement	NOUN	joyeument
lez	DET	lez
messagiers	NOUN	messagier
de	ADP	de
sa	DET	son
fame	NOUN	feme
la	DET	le
royne	NOUN	roine
Bauptheur	NOUN	bauthoup
et	CCONJ	et
moult	ADV	moult
enquist	VERB	enquerre
diligemment	NOUN	dilammer
l'	DET	le
estat	NOUN	état
de	ADP	de
la	DET	le
royne	NOUN	roine
et	CCONJ	et
de	ADP	de
sez	VERB	savoir
enffans	NOUN	enfant
et	CCONJ	et
du	ADP.DET	de.le
royaulme	NOUN	royaume
.	PUNCT	.
Et	CCONJ	et
puys	NOUN	puis
,	PUNCT	,
quant	SCONJ	cant
il	PRON	il
eut	VERB	avoir
consideré	VERB	considérer
en	ADP	en
luy	PRON	lui
mesmes	ADJ	même
l'	DET	le
orgueil	NOUN	orgueil
de	ADP	de
sez	VERB	savoir
enffans	NOUN	enfant
et	CCONJ	et
comment	ADV	comment
ilz	PRON	il
avoient	VERB	avoir
mys	VERB	mettre
gens	NOUN	gens
d'	ADP	de
armes	NOUN	arme
es	ADP.DET	en.le
citez	NOUN	cité
,	PUNCT	,
villez	NOUN	ville
et	CCONJ	et
chasteaulx	NOUN	château
et	CCONJ	et
comme	SCONJ	comme
avoient	VERB	avoir
commandé	VERB	commander
que	SCONJ	que
portz	NOUN	porter
et	CCONJ	et
passages	NOUN	passage
fussent	VERB	estre
gardez	VERB	garder
et	CCONJ	et
deffendus	VERB	defendre
,	PUNCT	,
si	ADV	si
en	ADP	en
fuct	NOUN	fucer
le	DET	le
roy	NOUN	roi
moult	ADV	moult
desplaisant	VERB	déplaire
et	CCONJ	et
tormenté	NOUN	tormenter
en	ADP	en
son	DET	son
courage	NOUN	courage
et	CCONJ	et
appela	VERB	appeler
tout	DET	tout
son	DET	son
conseil	NOUN	conseil
et	CCONJ	et
demanda	VERB	demander
quelle	DET	quel
chose	NOUN	chose
estoit	VERB	estre
bonne	ADJ	bon
de	ADP	de
faire	VERB	faire
.	PUNCT	.
Le	DET	le
conseil	NOUN	conseil
du	ADP.DET	de.le
roy	NOUN	roi
ensemblé	VERB	ensemble
delibera	VERB	délibérer
par	ADP	par
bone	ADJ	bon
et	CCONJ	et
saige	ADJ	sage
deliberacion	NOUN	délibéracie
l'	DET	le
orgueil	NOUN	orgueil
et	CCONJ	et
presumption	NOUN	présunt-mondre
desdictz	ADJ	de.ledit
enffans	NOUN	enfant
et	CCONJ	et
aussi	ADV	aussi
le	DET	le
grant	ADJ	grant
trouble	NOUN	trouble
et	CCONJ	et
division	NOUN	division
du	ADP.DET	de.le
royaulme	NOUN	royaume
.	PUNCT	.
Lesdictez	PROPN	ledit
choses	NOUN	chose
considerees	VERB	considérer
,	PUNCT	,
ledict	DET	ledit
conseil	NOUN	conseil
dict	VERB	dire
au	ADP.DET	a.le
roy	NOUN	roi
qu'	SCONJ	que
il	PRON	il
mist	VERB	metre
tout	DET	tout
en	ADP	en
la	DET	le
main	NOUN	main
de	ADP	de
Nostre	DET	notre
Seigneur	NOUN	seigneur
et	CCONJ	et
que	SCONJ	que
c'	CCONJ	ce
est	VERB	estre
celuy	DET	cil
